gene	wt	wt_1	wt_2	ko	ko_1	ko_2
A530050N04Rik	0	0	0	0	0	0
A530053G22Rik	0	0	0	0	0	0
A530058N18Rik	0	0	0	0	0	0
A530064D06Rik	0	1	1	1	0	2
A530065N20Rik	0	0	0	0	0	0
A530072M11Rik	21	17	98	12	29	22
A530088E08Rik	37	19	126	24	44	38
A530099J19Rik	0	0	0	0	0	0
A630001G21Rik	1718	1173	7233	1178	1732	1311
A630010A05Rik	0	0	0	0	0	0
A630012P03Rik	0	0	0	0	0	0
A630019I02Rik	5	2	19	2	9	1
A630020A06	8	3	14	3	5	5
A630023A22Rik	0	0	0	0	0	0
A630023P12Rik	172	87	1154	123	327	216
A630033H20Rik	206	120	982	148	224	111
A630066F11Rik	31	25	172	22	53	31
A630072M18Rik	511	344	2077	291	488	372
A630073D07Rik	0	0	0	0	0	0
A630075F10Rik	0	0	0	0	0	0
A630076J17Rik	0	0	13	0	0	0
A630077J23Rik	0	0	0	0	0	1
A630089N07Rik	731	571	3044	561	592	553
A630095E13Rik	1	0	0	0	0	0
A630095N17Rik	5	5	44	7	14	7
A730004F24Rik	0	0	0	0	0	0
A730006G06Rik	0	0	1	0	0	0
A730008H23Rik	0	0	0	0	0	0
A730017C20Rik	0	0	0	0	0	0
A730017L22Rik	259	156	1080	175	274	162
A730018C14Rik	0	0	0	0	0	0
A730020E08Rik	0	0	0	0	1	0
A730020M07Rik	0	0	0	0	0	0
A730036I17Rik	0	0	0	0	0	0
A730043L09Rik	0	0	0	0	0	0
A730046J19Rik	0	0	0	0	0	0
A730056A06Rik	0	0	0	0	0	0
A730082K24Rik	0	0	3	0	0	0
A730085K08Rik	0	0	2	0	1	1
A730090H04Rik	3	0	2	0	0	0
A730090N16Rik	7	11	51	5	12	14
A830009L08Rik	2	0	3	0	0	0
A830010M20Rik	384	294	1832	280	362	281
A830011K09Rik	0	0	0	0	0	0
A830018L16Rik	0	0	0	0	0	0
A830019L24Rik	0	0	0	0	0	0
A830052D11Rik	0	0	0	0	0	0
A830080D01Rik	1202	907	5565	846	1121	1034
A830082K12Rik	0	0	0	0	0	0
A830082N09Rik	39	29	281	35	51	41
A930001A20Rik	0	0	0	0	1	0
A930001C03Rik	7	8	21	4	3	2
A930002C04Rik	1	1	4	3	0	1
A930003A15Rik	0	0	4	0	0	2
A930003O13Rik	1	0	1	0	0	0
A930004D18Rik	40	37	212	34	42	30
A930005H10Rik	315	185	1159	171	324	192
A930006I01Rik	0	0	0	0	0	0
A930006K02Rik	36	31	214	17	34	25
A930007I19Rik	11	10	52	11	10	8
A930009A15Rik	0	0	0	0	1	0
A930011G23Rik	0	0	2	1	2	1
A930012L18Rik	0	0	0	0	0	0
A930013F10Rik	261	216	1181	165	179	199
A930015D03Rik	174	110	618	98	228	143
A930016O22Rik	13	16	68	6	19	11
A930017M01Rik	0	0	0	0	0	0
A930018P22Rik	0	0	0	0	0	0
A930019D19Rik	1	1	8	1	1	0
A930024E05Rik	346	234	1613	225	495	274
A930031H19Rik	0	0	0	0	0	0
A930041C12Rik	5	9	58	12	12	15
AA387883	0	0	0	0	0	0
AA388235	284	166	837	163	193	143
AA413626	28	17	124	24	24	20
AA414768	130	82	514	77	108	93
AA415398	77	43	305	36	70	53
AA465934	139	94	503	74	98	92
AA467197	25	45	98	25	109	208
AA474331	221	158	912	111	167	150
AA536875	0	0	1	0	0	0
AA543186	29	16	91	23	15	17
AA543401	0	0	0	0	0	0
AA545190	0	0	0	0	0	0
AA619741	0	0	0	0	0	0
AA792892	0	0	0	0	0	0
AA986860	5	3	33	6	9	4
Aaas	7381	4829	28712	4333	5170	4454
Aacs	6065	4242	22939	3825	4752	4154
Aadac	0	0	0	0	0	0
Aadacl2	0	0	0	0	0	0
Aadacl3	0	0	0	0	0	0
Aadat	0	0	0	0	0	0
Aaed1	265	207	1032	200	222	208
Aagab	3250	2217	13141	2058	2820	2487
Aak1	5258	3614	23887	3439	4780	3746
Aamdc	306	200	1125	170	326	248
Aamp	10348	7152	40718	6379	10537	8282
Aanat	3	4	10	0	3	1
Aar2	2511	1831	9883	1646	2200	1835
Aard	0	0	2	0	5	0
Aars	19364	13851	78946	12996	16461	14837
Aars2	2355	1615	8997	1436	1969	1645
Aarsd1	4840	3543	19824	3144	4153	3472
Aasdh	975	732	4613	703	933	758
Aasdhppt	2005	1411	7518	1331	1848	1495
Aass	0	0	0	0	0	0
Aatf	5119	3742	21444	3558	4793	4046
Aatk	2	0	7	1	3	3
AB124611	584	352	2359	354	799	476
Abat	18	14	86	8	21	20
Abca1	272	236	745	115	103	151
Abca12	0	0	0	0	0	0
Abca13	0	0	0	0	1	0
Abca14	0	0	0	0	0	0
Abca15	0	0	0	0	0	0
Abca16	0	0	0	0	0	0
Abca17	15	14	33	6	20	22
Abca2	8498	6136	39805	5268	7060	5958
Abca3	2399	1625	9993	1456	2026	1727
Abca4	3	0	7	0	4	3
Abca5	38	29	119	27	36	26
Abca6	0	0	0	0	0	0
Abca7	3029	2056	12941	1780	3253	2600
Abca8a	0	0	0	0	0	0
Abca8b	0	0	1	0	1	2
Abca9	0	0	0	0	0	0
Abcb10	657	465	2381	376	478	458
Abcb11	0	0	0	0	2	1
Abcb1a	147	95	374	70	193	138
Abcb1b	4704	3281	17172	2948	2984	2914
Abcb4	33	19	133	21	53	54
Abcb5	0	0	0	0	0	0
Abcb6	1650	1189	6474	1031	1300	1197
Abcb7	5177	3757	21554	3675	4435	3853
Abcb8	3309	2400	12962	2102	2350	2185
Abcb9	1428	1095	7617	920	1618	1343
Abcc1	6218	4521	27223	4042	5776	5261
Abcc10	1128	843	5112	719	1102	739
Abcc12	0	0	0	0	0	0
Abcc2	0	1	3	1	1	1
Abcc3	12	8	30	6	19	10
Abcc4	3371	2327	13891	2278	2725	2403
Abcc5	2038	1399	8192	1357	1693	1397
Abcc6	0	0	0	0	0	0
Abcc8	0	0	1	0	0	0
Abcc9	0	0	0	2	0	0
Abcd1	868	679	4378	551	949	734
Abcd2	1	0	3	0	5	3
Abcd3	2272	1626	9159	1492	1904	1618
Abcd4	684	498	2888	416	665	526
Abce1	23814	17432	100260	16622	20461	18340
Abcf1	23494	16617	94859	15081	19910	17744
Abcf2	14768	10289	60580	9434	12136	10851
Abcf3	3798	2524	15365	2488	3736	3099
Abcg1	1551	1030	5237	905	1196	825
Abcg2	501	353	1497	343	336	335
Abcg3	268	188	1353	162	439	209
Abcg4	8	8	67	13	17	11
Abcg5	0	0	0	0	1	0
Abcg8	1	5	11	2	2	2
Abhd1	11	10	54	9	12	17
Abhd10	990	686	4259	636	872	771
Abhd11	2924	2065	11187	1965	2801	2286
Abhd11os	41	19	149	17	42	37
Abhd12	2716	1868	11616	1599	2313	2088
Abhd12b	2	1	15	0	2	2
Abhd13	2789	2039	11381	1897	2522	2159
Abhd14a	1534	1168	5807	932	1310	1163
Abhd14b	187	114	675	127	151	162
Abhd15	166	137	638	96	103	127
Abhd16a	2030	1386	8034	1208	1933	1668
Abhd16b	12	2	37	4	1	2
Abhd17a	8258	5738	32957	4990	6809	6063
Abhd17b	2305	1696	8592	1471	2263	2203
Abhd17c	5670	4208	24733	3950	5345	5179
Abhd2	2655	1911	11465	1695	2557	2117
Abhd3	0	0	1	1	0	0
Abhd4	500	387	1760	269	398	360
Abhd5	661	480	2678	472	540	515
Abhd6	562	373	2117	380	487	399
Abhd8	4077	2865	16924	2583	4226	3548
Abi1	6766	4541	27532	4215	6302	4846
Abi2	1858	1396	9109	1356	1304	1217
Abi3	519	387	2508	96	151	167
Abi3bp	4	0	40	7	9	6
Abl1	6773	4834	29901	4437	5294	4622
Abl2	4104	2949	17517	2715	3544	3273
Ablim1	22114	15661	96211	15666	24915	22564
Ablim2	11	11	44	4	9	12
Ablim3	0	0	6	1	5	2
Abo	0	0	0	0	0	0
Abr	1847	1400	8942	1181	2207	1683
Abra	0	0	4	0	0	1
Abracl	4945	3430	20091	3235	4822	3659
Abt1	2666	1930	11024	1820	2531	2261
Abtb1	745	481	3171	454	926	567
Abtb2	5327	3767	23199	3333	4575	3967
Acaa1a	2326	1506	9528	1393	2349	1973
Acaa1b	8	3	23	1	11	13
Acaa2	1772	1174	7295	1082	1646	1224
Acaca	7046	5231	30596	4910	5043	4689
Acacb	76	39	284	33	66	56
Acad10	241	172	1147	182	308	179
Acad11	846	602	3249	519	725	534
Acad12	171	119	753	101	155	100
Acad8	935	649	3742	589	829	667
Acad9	3809	2680	14910	2511	3499	2741
Acadl	2580	1822	9956	1460	2221	1820
Acadm	2463	1761	9947	1500	2382	2038
Acads	1595	1112	6277	996	1542	1287
Acadsb	723	500	2874	449	827	582
Acadvl	5260	3628	22081	3531	5604	4760
Acan	3	1	1	0	0	0
Acap1	8649	6321	39553	5906	8652	7168
Acap2	3604	2560	15406	2324	3063	2707
Acap3	1853	1404	8342	1130	1665	1544
Acat1	5863	4062	25025	3636	5023	4429
Acat2	2093	1461	8237	1302	1480	1230
Acat3	28	26	113	19	22	23
Acbd3	3199	2227	12889	2130	2997	2847
Acbd4	344	230	1339	204	361	254
Acbd5	1008	708	4177	673	1071	898
Acbd6	5231	3835	21083	3280	4257	3717
Acbd7	9	5	18	4	6	4
Accs	473	296	1989	281	440	307
Accsl	1	0	0	0	0	1
Acd	2631	1696	10588	1681	2392	1966
Ace	0	0	0	0	0	0
Ace2	0	0	2	1	0	0
Ace3	0	0	2	0	0	0
Acer1	0	0	0	0	0	0
Acer2	486	290	1682	337	399	286
Acer3	613	463	2623	425	633	510
Ache	12	10	85	17	69	78
Acin1	24456	17009	105019	16171	23514	19331
Ackr1	0	0	0	0	0	0
Ackr2	2	1	6	4	2	3
Ackr3	0	2	0	1	4	1
Ackr4	8	5	19	1	4	7
Acly	31184	22115	128887	20146	25218	22759
Acmsd	3	1	1	0	0	1
Acnat1	0	0	0	0	0	0
Acnat2	0	0	0	0	0	0
Aco1	4768	3394	18052	2979	3589	3617
Aco2	19680	13632	79226	12461	16096	14197
Acot1	27	14	72	7	14	2
Acot10	3	4	23	3	12	2
Acot11	142	111	622	124	162	167
Acot12	3	5	14	0	1	2
Acot13	539	395	2404	354	560	434
Acot2	776	567	3241	518	771	616
Acot3	0	0	1	0	0	0
Acot4	16	12	48	9	17	13
Acot5	0	0	0	0	0	0
Acot6	251	171	887	125	205	166
Acot7	10957	7970	46247	7018	10697	9438
Acot8	1024	786	4154	657	971	813
Acot9	2304	1617	8860	1431	2251	1857
Acox1	1263	893	4905	838	1200	1057
Acox2	0	2	0	0	0	1
Acox3	781	495	3355	513	879	603
Acoxl	10	3	37	2	5	1
Acp1	3676	2454	14362	2399	3099	2750
Acp2	691	452	2878	415	679	529
Acp5	1388	896	5572	836	1538	1021
Acp6	1478	1006	5882	946	1268	961
Acpp	156	93	500	108	144	120
Acpt	8	10	21	2	1	8
Acr	0	0	0	0	0	0
Acrbp	231	121	967	127	232	145
Acrv1	1	0	5	0	0	0
Acsbg1	198	154	719	121	218	168
Acsbg2	1	0	1	2	1	3
Acsf2	964	602	3758	554	619	551
Acsf3	1359	945	5601	829	1096	930
Acsl1	1206	837	4522	722	1050	1037
Acsl3	1824	1221	7217	1148	1342	1217
Acsl4	8621	6241	35177	5968	7718	7290
Acsl5	16673	11656	65655	11322	15476	12921
Acsl6	77	42	290	63	32	69
Acsm1	0	0	0	0	0	0
Acsm2	0	0	0	0	0	0
Acsm3	9	6	32	7	2	2
Acsm4	6	1	7	1	0	1
Acsm5	0	0	0	0	0	0
Acss1	317	233	1403	207	485	285
Acss2	745	451	2757	424	757	514
Acss2os	3	0	4	2	2	0
Acss3	0	0	0	0	0	0
Acta1	10	2	27	4	3	3
Acta2	8	9	31	8	10	3
Actb	253930	193188	1178447	179576	261921	208282
Actbl2	7	5	44	6	14	1
Actc1	0	0	0	0	2	1
Actg1	45839	31629	179110	30476	37245	36140
Actg2	33	27	128	17	18	19
Actl10	19	17	122	16	14	11
Actl11	0	0	0	0	0	0
Actl6a	8579	6132	35459	5727	7302	6436
Actl6b	0	0	0	0	1	0
Actl7a	1	2	2	1	4	3
Actl7b	1	1	18	3	2	1
Actl9	0	0	1	0	0	0
Actn1	13870	8823	55293	8874	12841	9755
Actn2	189	113	1130	107	111	74
Actn3	68	44	219	23	48	55
Actn4	27807	20271	115797	17242	20790	18922
Actr10	4314	3111	17814	2915	4171	3401
Actr1a	8017	5675	31791	5125	7016	6191
Actr1b	5230	3763	21841	3202	4752	4020
Actr2	29448	21772	123037	20540	28031	24938
Actr3	36865	26039	153890	25117	35057	29831
Actr3b	63	51	244	54	52	50
Actr5	2075	1503	8540	1322	1991	1644
Actr6	667	444	2542	463	651	519
Actr8	1690	1160	6924	1079	1526	1296
Actrt1	0	0	0	0	0	0
Actrt2	0	0	0	0	0	0
Actrt3	9	2	19	1	6	4
Acvr1	140	107	521	84	135	114
Acvr1b	1248	844	5262	821	1155	821
Acvr1c	3	5	8	4	13	1
Acvr2a	207	161	922	150	230	189
Acvr2b	60	29	201	36	25	37
Acvrl1	100	39	431	77	159	106
Acy1	1764	1195	6486	1095	1668	1458
Acy3	4	11	61	6	8	8
Acyp1	473	303	1929	305	423	334
Acyp2	32	23	112	27	21	31
Ada	1232	886	4351	796	1167	968
Adad1	2	7	24	2	3	4
Adad2	2	0	7	0	1	3
Adal	652	438	2830	466	577	447
Adam10	13320	9165	63405	9068	10329	8118
Adam11	1	1	29	10	16	7
Adam12	7	0	33	5	8	5
Adam15	1780	1332	7035	1147	1360	1542
Adam17	3987	2868	16475	2535	3373	3087
Adam18	0	0	0	0	0	0
Adam19	669	507	4116	591	1257	1298
Adam1a	123	72	504	94	146	101
Adam1b	0	2	1	0	0	1
Adam2	0	0	0	0	0	0
Adam20	0	0	0	0	0	0
Adam21	8	1	16	3	2	3
Adam22	56	47	217	29	66	28
Adam23	0	0	0	0	1	0
Adam24	0	0	0	0	0	0
Adam25	0	0	0	0	0	0
Adam26a	0	0	0	0	0	0
Adam26b	0	0	0	0	0	0
Adam28	0	0	0	0	0	0
Adam29	0	0	0	0	0	0
Adam3	0	0	0	1	0	0
Adam30	0	0	0	0	0	0
Adam32	1	0	3	0	0	0
Adam33	3	1	4	1	0	2
Adam34	0	0	0	0	0	0
Adam39	0	0	0	0	0	0
Adam4	36	33	130	33	38	25
Adam5	0	0	0	0	0	0
Adam6a	1	0	2	0	1	0
Adam6b	4	4	6	3	2	1
Adam7	0	0	0	0	0	0
Adam8	391	329	1664	263	462	476
Adam9	801	590	3764	593	851	883
Adamdec1	0	0	0	0	1	0
Adamts1	3	0	0	0	1	4
Adamts10	2381	1719	11100	1613	2399	1915
Adamts12	0	0	0	0	0	0
Adamts13	0	0	13	0	0	0
Adamts14	35	36	147	40	68	73
Adamts15	0	0	0	1	0	0
Adamts16	0	0	0	0	0	0
Adamts17	48	31	242	29	39	25
Adamts18	0	0	0	0	0	0
Adamts19	0	0	0	0	0	0
Adamts2	0	0	10	1	1	0
Adamts20	29	24	164	33	21	27
Adamts3	23	12	120	22	19	20
Adamts4	2	6	11	2	0	1
Adamts5	0	0	0	0	0	0
Adamts6	1546	922	6985	1000	1811	884
Adamts7	1	2	4	0	1	1
Adamts8	1	1	10	1	0	0
Adamts9	1	0	0	0	0	0
Adamtsl1	0	0	2	0	0	0
Adamtsl2	1	0	12	3	5	3
Adamtsl3	3	1	12	2	1	5
Adamtsl4	245	202	1418	221	284	328
Adamtsl5	0	0	7	2	4	11
Adap1	1485	1145	6759	1042	1592	1768
Adap2	6	2	9	6	9	7
Adar	8852	6378	38318	5117	8158	5992
Adarb1	4243	2741	18421	2698	3204	3268
Adarb2	0	0	0	0	1	0
Adat1	992	639	3787	639	827	754
Adat2	957	714	3903	625	838	770
Adat3	845	603	3395	530	737	674
Adck1	1521	1108	5916	991	1298	996
Adck2	770	596	3356	507	782	549
Adck3	264	173	1185	175	292	201
Adck4	1170	844	5001	767	1127	947
Adck5	1911	1346	7705	1280	1859	1460
Adcy1	0	2	8	4	2	3
Adcy10	1	0	0	0	2	2
Adcy2	0	0	2	0	0	0
Adcy3	1625	1203	7059	1000	1425	1283
Adcy4	28	17	119	26	25	30
Adcy5	14	5	40	6	10	8
Adcy6	2628	1827	14565	1852	4388	3335
Adcy7	5588	3874	25629	3606	4322	3779
Adcy8	0	0	0	0	0	0
Adcy9	248	169	1112	164	243	188
Adcyap1	0	0	0	0	0	0
Adcyap1r1	0	0	0	0	0	0
Add1	8454	5892	36675	5757	9084	7150
Add2	3	0	4	1	1	15
Add3	4047	2574	15667	2753	3718	2828
Adgb	2	3	8	2	14	15
Adgra1	1	0	0	0	0	0
Adgra2	303	174	1419	215	179	224
Adgra3	29	26	147	26	42	27
Adgrb1	1	2	0	1	0	0
Adgrb2	16	8	59	3	13	6
Adgrb3	0	0	0	0	0	0
Adgrd1	15	7	25	6	11	6
Adgre1	1	0	8	1	2	2
Adgre4	1	6	10	3	9	3
Adgre5	6509	4283	28246	4118	6123	4074
Adgrf1	0	0	0	0	0	0
Adgrf2	6	2	30	4	2	4
Adgrf3	1	5	15	2	4	3
Adgrf4	2	4	22	3	7	3
Adgrf5	0	0	1	1	2	0
Adgrg1	117	54	750	88	453	434
Adgrg2	1	1	7	0	4	2
Adgrg3	34	24	215	31	90	66
Adgrg5	33	21	153	16	70	46
Adgrg6	5	3	33	2	8	6
Adgrg7	2	2	18	1	10	16
Adgrl1	11728	8333	57724	7557	9216	7536
Adgrl2	18	9	154	7	33	32
Adgrl3	0	0	0	0	0	0
Adgrl4	0	1	5	0	1	2
Adgrv1	1	1	7	0	0	0
Adh1	22	13	72	15	19	30
Adh4	59	46	258	40	43	43
Adh5	9188	6304	35719	5967	8388	7140
Adh6-ps1	0	0	0	0	0	0
Adh6a	0	0	0	0	0	0
Adh7	0	3	9	2	0	4
Adhfe1	17	8	56	8	13	8
Adi1	2655	1901	10951	1767	2604	2266
Adig	1	0	5	0	0	0
Adipoq	0	1	3	1	2	1
Adipor1	7215	5281	28311	4413	6040	5513
Adipor2	9091	6559	35959	5582	7315	6236
Adk	5718	3961	23456	3343	4917	3914
Adm	30	21	144	21	32	24
Adm2	0	0	0	0	0	2
Adnp	492	428	2367	350	332	351
Adnp2	2159	1596	8936	1454	1791	1659
Ado	3431	2450	14122	2046	3021	2795
Adora1	0	0	0	1	0	0
Adora2a	1735	1231	7083	938	1490	1492
Adora2b	235	121	1235	160	189	235
Adora3	3	0	0	0	0	2
Adpgk	3604	2577	15490	2444	3383	2677
Adprh	4164	2830	18061	2726	4427	3722
Adprhl1	1	0	4	0	0	0
Adprhl2	4595	3117	18358	2879	3735	3254
Adprm	1173	807	4431	780	1100	1075
Adra1a	0	0	0	0	0	0
Adra1b	0	0	2	0	0	0
Adra1d	1	0	1	0	0	0
Adra2a	5	0	6	3	3	9
Adra2b	1	1	0	0	0	0
Adra2c	0	0	0	0	0	0
Adrb1	1	2	11	0	17	5
Adrb2	91	57	334	51	141	97
Adrb3	0	0	0	0	0	0
Adrbk1	22433	15866	93516	14149	21503	18401
Adrbk2	34	36	121	35	69	70
Adrm1	7846	5534	32641	5118	7108	5899
Adsl	19171	13816	77660	12346	16084	14166
Adss	20288	13954	83056	13381	18217	14992
Adssl1	42	26	201	23	51	47
Adtrp	2	5	22	5	0	1
Aebp1	185	135	785	112	146	118
Aebp2	21768	15784	94123	14664	19606	18999
Aen	5813	4110	22763	3527	4357	3835
Aes	11389	7671	45841	7008	12166	9980
AF067061	0	1	0	0	3	0
AF067063	0	0	0	0	0	0
AF251705	0	0	0	0	0	3
AF357355	0	0	0	0	0	0
AF357359	0	0	0	0	3	0
AF357399	77	47	296	42	66	51
AF357425	0	0	0	0	0	0
AF357426	0	0	0	0	0	0
AF366264	0	0	0	0	0	0
AF529169	0	0	0	0	0	0
Afap1	226	137	843	170	234	185
Afap1l1	9	8	81	13	16	19
Afap1l2	0	0	2	2	1	0
Aff1	3366	2296	15760	2234	3647	2776
Aff2	0	0	1	0	0	0
Aff3	7882	5916	38207	5324	7631	6828
Aff4	5724	4135	23644	3837	4624	4418
Afg3l1	7497	5305	30701	4905	6643	5825
Afg3l2	8579	5956	35352	5733	7261	6584
Afm	0	0	7	0	0	0
Afmid	464	347	2169	314	400	284
Afp	658	396	1633	335	316	310
Aftph	4497	3028	18839	2807	4179	3242
Aga	854	614	3597	535	786	646
Agap1	21	18	132	16	14	18
Agap2	6048	4192	26414	3687	5780	4553
Agap3	5663	3955	22646	3374	4600	4037
Agbl1	1	1	3	0	0	0
Agbl2	1	1	2	0	0	0
Agbl3	98	66	366	62	70	56
Agbl4	0	0	0	0	0	0
Agbl5	1277	894	5447	815	1100	819
Ager	270	179	1136	187	314	219
Agfg1	22662	16257	102615	15224	19027	15450
Agfg2	2241	1679	9522	1456	1865	1549
Aggf1	6978	4895	28431	4660	6337	5530
Agk	1590	1117	6136	1043	1317	1080
Agl	684	504	2693	466	550	415
Agmat	2	1	5	1	1	0
Agmo	0	0	1	0	0	0
Ago1	6633	4646	28945	4452	5920	4681
Ago2	10631	8116	50211	7859	9174	9426
Ago3	693	561	3490	502	572	515
Ago4	6	8	20	2	13	12
Agpat1	4516	3209	18470	2913	4049	3394
Agpat2	1090	778	3917	719	1087	859
Agpat3	13144	9841	60259	8924	13967	11833
Agpat4	821	639	3704	580	930	835
Agpat5	4007	2690	16386	2724	3527	3180
Agpat6	8578	6062	34986	5614	7416	6753
Agpat9	58	51	330	38	96	111
Agps	6386	4860	27095	4454	5513	5015
Agr2	0	0	0	0	0	0
Agr3	1	4	24	0	9	3
Agrn	792	597	3799	385	506	443
Agrp	22	26	92	17	39	17
Agt	0	0	1	0	3	1
Agtpbp1	2031	1433	8897	1383	1901	1608
Agtr1a	0	0	0	0	0	0
Agtr1b	0	0	0	0	0	0
Agtr2	0	0	0	0	0	0
Agtrap	959	663	4049	577	1019	790
Agxt	0	0	0	0	0	0
Agxt2	0	0	0	0	0	0
Ahctf1	14076	10355	60159	9824	11483	11009
Ahcy	10695	7342	41951	6446	7537	7038
Ahcyl1	9813	6900	42070	6352	8459	6837
Ahcyl2	5068	3483	23047	3472	6518	4784
Ahdc1	1663	1252	8746	1148	1589	1358
Ahi1	1445	973	6240	822	1019	899
Ahnak	1660	1527	8862	1242	3442	3120
Ahr	272	272	1302	194	318	513
Ahrr	4	9	30	8	15	6
Ahsa1	18787	13184	72991	12079	16192	14237
Ahsa2	1926	1280	7103	1278	1588	1562
Ahsg	0	0	0	0	0	0
AI115009	0	0	0	0	0	0
AI118078	0	1	10	1	7	1
AI182371	47	43	234	50	61	44
AI197445	0	0	0	0	0	0
AI314180	12652	9305	53986	8662	10761	9855
AI314278	0	0	0	0	0	0
AI317395	0	1	1	0	0	1
AI413582	830	615	3487	532	762	689
AI414108	33	29	175	27	57	37
AI427809	1	0	0	0	0	0
AI429214	25	27	107	15	29	14
AI450353	127	90	526	86	150	105
AI463170	0	1	0	0	0	1
AI464131	2	2	19	1	5	4
AI467606	1404	927	5555	856	1616	1181
AI504432	4937	3383	20940	3243	4518	3274
AI506816	1968	1499	8299	1220	1199	1189
AI507597	0	0	0	0	0	0
AI593442	0	0	0	0	0	0
AI597479	2414	1729	10291	1704	2156	1815
AI606473	0	0	0	0	0	0
AI607873	5	12	4	6	15	10
AI646519	0	0	0	0	0	0
AI661453	2	0	8	2	2	2
AI662270	12104	8451	50990	8489	11455	10272
AI837181	1629	1182	6809	995	1763	1323
AI839979	13	5	82	10	10	13
AI846148	1070	768	4561	720	1137	997
AI847159	14	5	27	4	14	8
AI854517	0	0	0	0	0	0
AI854703	481	321	1775	266	439	313
AI987944	708	497	2889	472	801	509
Aicda	1	1	4	0	1	1
Aida	3326	2407	13791	2224	3156	2707
Aif1	9	5	43	3	16	13
Aif1l	137	120	475	81	70	110
Aifm1	5194	3708	21040	3388	4380	3955
Aifm2	62	47	333	43	71	55
Aifm3	2	3	11	1	2	2
Aig1	280	229	1099	207	455	346
Aim1	4345	3457	19762	3288	5673	6582
Aim1l	273	198	1209	130	272	224
Aim2	1136	841	3031	608	908	684
Aimp1	6538	4521	25439	4284	6322	5362
Aimp2	6169	4331	24129	4036	5239	4564
Aip	4651	3237	18458	2840	4644	3749
Aipl1	5	6	36	9	14	10
Aire	0	1	0	0	3	0
Airn	69	35	367	48	65	42
Ajap1	0	0	1	0	0	0
Ajuba	874	931	4701	858	925	2197
AK010878	524	371	2148	353	562	469
Ak1	17	8	59	9	21	12
Ak2	19589	14496	79843	12440	16346	15678
Ak3	1782	1283	7510	1154	1643	1429
Ak4	1730	1162	5827	937	1000	1219
Ak5	2	3	11	4	1	0
Ak6	1762	1365	6817	1172	1595	1422
Ak7	485	351	1621	284	787	432
Ak8	0	1	2	0	0	1
Akap1	4689	3316	18309	3201	3333	3296
Akap10	2136	1561	9036	1428	1773	1661
Akap11	4793	3371	20528	3143	3848	3495
Akap12	162	133	1044	147	204	166
Akap13	9313	6128	43592	6071	13358	8406
Akap14	9	2	12	2	3	1
Akap17b	198	157	980	185	213	221
Akap2	0	0	0	0	0	0
Akap3	1	1	1	1	1	1
Akap4	0	0	0	0	0	0
Akap5	35	37	211	37	46	54
Akap6	1	2	26	1	14	6
Akap7	100	61	428	66	103	88
Akap8	14794	10252	62700	9867	13701	11479
Akap8l	1845	1227	7838	1182	2166	1555
Akap9	4513	3429	21087	3119	4498	3780
Akip1	1089	715	4186	667	803	689
Akirin1	3513	2379	14984	2427	3569	3012
Akirin2	2308	1693	9571	1526	2165	1899
Akna	8622	5980	38408	5095	8621	6776
Aknad1	0	0	0	0	0	0
Akp3	0	0	0	0	0	0
Akr1a1	10334	7087	42997	6562	9871	8349
Akr1b10	316	190	1324	200	258	234
Akr1b3	3	2	8	1	0	1
Akr1b7	2	1	5	0	3	1
Akr1b8	1	3	20	0	11	6
Akr1c12	131	119	565	134	146	105
Akr1c13	366	302	1473	329	338	293
Akr1c14	0	0	0	0	0	0
Akr1c18	266	245	1849	244	397	269
Akr1c19	1	0	2	2	0	0
Akr1c20	0	0	0	0	0	0
Akr1c21	0	1	0	0	0	0
Akr1c6	0	0	0	0	0	0
Akr1cl	0	0	0	0	0	0
Akr1d1	0	0	4	0	0	1
Akr1e1	495	393	2543	477	411	399
Akr7a5	1540	1037	6171	974	1224	991
Akt1	15751	11625	63992	10319	13353	12559
Akt1s1	3154	2061	12078	1940	2534	2202
Akt2	12164	8864	52763	8014	10529	9616
Akt3	1315	917	5986	801	1377	1101
Aktip	673	527	2850	526	740	556
Alad	3824	2699	15715	2207	2884	2659
Alas1	3320	2261	13520	2169	2760	2671
Alas2	29	8	81	55	18	38
Alb	0	0	2	2	0	0
Alcam	3723	2725	16569	2443	3289	2739
Aldh16a1	2060	1507	8324	1354	1775	1691
Aldh18a1	9681	7067	40328	6343	8134	7069
Aldh1a1	2	4	4	1	37	39
Aldh1a2	10	11	42	12	2	3
Aldh1a3	0	0	3	0	0	0
Aldh1a7	0	0	1	0	2	1
Aldh1b1	463	306	1917	295	480	386
Aldh1l1	95	48	84	39	108	86
Aldh1l2	29	33	110	38	26	44
Aldh2	2245	1566	9917	1424	1704	1529
Aldh3a1	3	2	6	0	0	1
Aldh3a2	1388	972	5788	910	1479	1151
Aldh3b1	17	13	58	11	33	33
Aldh3b2	0	0	0	0	0	0
Aldh3b3	0	0	2	0	0	0
Aldh4a1	1692	1134	6248	949	1292	1051
Aldh5a1	73	42	205	53	56	48
Aldh6a1	249	161	999	175	268	184
Aldh7a1	1735	1152	6623	1193	1511	1238
Aldh8a1	4	0	8	6	1	4
Aldh9a1	7945	5714	32188	5011	6910	5955
Aldoa	78752	53720	295362	47389	63721	60748
Aldoart1	22	6	56	10	13	12
Aldoart2	3	5	25	1	7	6
Aldob	0	0	1	0	0	0
